id,label,tweet
1,0,"Enjoy simple moments everyday\ud83d\udc96\n.\nLocation \ud83d\udccd Gili Trawangan,Lombok\n\n#sayapbali #giliisland #gilitrawangan #giliair"
2,0,"Semua bisa kamu dapatkan dengan mengunjungi 3 Gili yang terkenal; Gili Trawangan, Gili Meno, Gili Air.\n\nMulai dari\u2026 "
3,0,44 vs 37 e una quantit\u00e0 di coralli che i coltelli shogun a confronto sono gomma per cancellare. \n\nCia. @ Gili Trawa
4,0,"Peaceful #Beach in Gili Trawangan: Beach.Gili Trawangan has a different climate, and often...\u2026 "
5,2,"@ilhamichwani22 @nadyayumnaa baca komennya kok jd pgn ke gili trawangan, yuk pake duid hasil ngeped yuk"
6,0,"RT @wayanSumarta3: order a ticket to Nusa Penida Island or Gili Trawangan Island or just information please contact at this number !!! +628\u2026, "
7,0,@Abuela_Viajera @quiz_viajero De las islas gili la joda esta en trawangan. La paz y buceo en gili meno (esa eleg\u00ed y\u2026 
8,2,RT @LisaGillies: Bali and Gili\u00a0Trawangan 
9,0,"Alhamdulillah setelah 6 jam perjalanan ke lombok , besok lanjut lagi ke gili trawangan"
10,2,"I miss these cute islands, next to Bali.\nGili Trawangan.\n#tbt\n#gilli "
11,1,Gili T sunset. Say no more \ud83d\ude2b\u2764\ufe0f @ Gili Trawangan Lombok 
12,0,"RT @kecexbells: My Wife 4\u1d57\u02b0 Fun Dive @ Gili Trawangan - Lombok, Indonesia. "
13,0,"My Wife 4\u1d57\u02b0 Fun Dive @ Gili Trawangan - Lombok, Indonesia."
14,1,"En estos d\u00edas fr\u00edos quien me diera volver all\u00ed \ud83d\ude0d\ud83d\ude2d\nGili Trawangan, Indonesia \ud83c\uddee\ud83c\udde9 en Gili Trawangan Lombok "
15,0,"RT @HistoriDunia2: Ada sebuah pulau kecil bernama Gili Trawangan di NTB,  dekat pulau Bali yang menjual jamur ajaib atau magic mushroom.\n\nJ\u2026"
16,0,"RT @HistoriDunia2: Ada sebuah pulau kecil bernama Gili Trawangan di NTB,  dekat pulau Bali yang menjual jamur ajaib atau magic mushroom.\n\nJ\u2026"
17,1,"@bayu_joo @pegipegi pengen ke lombok buat muncak ke rinjani, lanjut bersantai di gili trawangan dan pulang dengan selamat\n#ButuhPegiPegi"
18,0,@kochenggg_oren gili trawangan  #wsis2020voteID
19,1,\u30db\u30c6\u30eb\u304c\u304a\u304d\u3083\u308f\u3067\u6700\u9ad8\u3067\u3057\u305f\u3093\ud83d\udc9b\ud83c\udf34\ud83e\udd70\n\n#pearloftrawanganresort 
20,1,"RT @HistoriDunia2: Ada sebuah pulau kecil bernama Gili Trawangan di NTB,  dekat pulau Bali yang menjual jamur ajaib atau magic mushroom."
